id,student_id,course_name,course_code,course_description,grade,credit_hour,score,created_at
1,1,PHILOSOPHY & CURRENT ISSUES,MPU3112,,CR,2.0,,2025-11-18T08:51:04.251622
2,1,WEB DEVELOPMENT,EC3106,,B-,3.0,,2025-11-18T08:51:04.251632
3,1,BACK-END WEB DEVELOPMENT,EC3374,,A-,3.0,,2025-11-18T08:51:04.251638
4,1,BACK-END WEB DEVELOPMENT,EC3374,,B,3.0,,2025-11-18T08:51:04.251642
5,1,SE PROJECT I,EC3328,,B-,2.0,,2025-11-18T08:51:04.251645
6,1,STRUCTURED PROGRAMMING,EC2104,,CR,3.0,,2025-11-18T08:51:04.251648
7,1,OPERATING SYSTEMS,EC3312,,B,3.0,,2025-11-18T08:51:04.251650
8,1,INFORMATION SYSTEMS,EC2314,,B-,3.0,,2025-11-18T08:51:04.251651
9,1,SE PROJECT I,EC3328,,B-,2.0,,2025-11-18T08:51:04.251653
10,1,SUMMATIVE (COMPUTING PROJECT),EC3320,,B+,4.0,,2025-11-18T08:51:04.251655
11,1,PHILOSOPHY & CURRENT ISSUES,MPU3112,,CR,2.0,,2025-11-18T08:51:04.251657
12,1,CALCULUS AND ALGEBRA,EC2107,,CR,3.0,,2025-11-18T08:51:04.251659
13,1,UNDERSTANDING COMPUTING,EC3100,,B,3.0,,2025-11-18T08:51:04.251661
14,1,INFORMATION SYSTEMS,EC3314,,B,3.0,,2025-11-18T08:51:04.251667
15,1,PRINCIPLES OF MACROECONOMICS,BM2003,,CR,3.0,,2025-11-18T08:51:04.251669
16,1,CALCULUS AND ALGEBRA,EC3107,,B,3.0,,2025-11-18T08:51:04.251670
17,1,BACK-END WEB DEVELOPMENT,EC3374,,B+,3.0,,2025-11-18T08:51:04.251672
18,1,OPERATING SYSTEMS,EC2312,,CR,3.0,,2025-11-18T08:51:04.251674
19,1,PRINCIPLES OF MICROECONOMICS,BM2002,,C,3.0,,2025-11-18T08:51:04.251678
20,1,PRINCIPLES OF MACROECONOMICS,BM2003,,B+,3.0,,2025-11-18T08:51:04.251680
21,1,WEB DEVELOPMENT,EC2106,,B,3.0,,2025-11-18T08:51:04.251682
22,1,SE PROJECT I,EC3328,,A-,2.0,,2025-11-18T08:51:04.251683
23,1,COMPUTER ORGANISATION,EC3103,,B-,3.0,,2025-11-18T08:51:04.251685
24,1,OBJECT ORIENTED PROGRAMMING,EC2306,,B,3.0,,2025-11-18T08:51:04.251687
25,1,INFORMATION SYSTEMS,EC3314,,SC,3.0,,2025-11-18T08:51:04.251689
26,1,MACHINE LEARNING,EC3357,,B,3.0,,2025-11-18T08:51:04.251691
27,1,UNDERSTANDING COMPUTING,EC3100,,A-,3.0,,2025-11-18T08:51:04.251692
28,1,DATA COMM AND NETWORKING,EC2321,,B,3.0,,2025-11-18T08:51:04.251694
29,1,SE PROJECT I,EC3328,,B,2.0,,2025-11-18T08:51:04.251696
30,1,UNDERSTANDING COMPUTING,EC2100,,B-,3.0,,2025-11-18T08:51:04.251698
31,1,OPERATING SYSTEMS,EC3312,,B,3.0,,2025-11-18T08:51:04.251699
32,1,SE PROJECT I,EC3328,,A+,2.0,,2025-11-18T08:51:04.251701
33,1,OBJECT ORIENTED PROGRAMMING,EC2306,,C,3.0,,2025-11-18T08:51:04.251704
34,1,UNDERSTANDING COMPUTING,EC2100,,B+,3.0,,2025-11-18T08:51:04.251706
